DATE_TIME;DRBS;NEWK
2021-03-12 02:15:00;118.467;   null
2021-03-12 02:16:00;115.550;   null
2021-03-12 02:17:00;111.017;   null
2021-03-12 02:18:00;113.467;   null
2021-03-12 02:19:00;118.567;   null
2021-03-12 02:20:00;118.450;   null
2021-03-12 02:21:00;116.933;   null
2021-03-12 02:22:00;114.400;   null
2021-03-12 02:23:00;114.667;   null
2021-03-12 02:24:00;114.300;   null
2021-03-12 02:25:00;115.233;   null
2021-03-12 02:26:00;113.833;   null
2021-03-12 02:27:00;114.250;   null
2021-03-12 02:28:00;113.450;   null
2021-03-12 02:29:00;113.350;   null
2021-03-12 02:30:00;114.550;   null
2021-03-12 02:31:00;114.167;   null
2021-03-12 02:32:00;115.717;   null
2021-03-12 02:33:00;112.267;   null
2021-03-12 02:34:00;110.800;   null
2021-03-12 02:35:00;112.717;   null
2021-03-12 02:36:00;117.683;   null
2021-03-12 02:37:00;115.383;   null
2021-03-12 02:38:00;118.233;   null
2021-03-12 02:39:00;115.267;   null
2021-03-12 02:40:00;118.533;   null
2021-03-12 02:41:00;112.567;   null
2021-03-12 02:42:00;112.467;   null
2021-03-12 02:43:00;118.250;   null
2021-03-12 02:44:00;112.850;   null
2021-03-12 02:45:00;115.933;   null
2021-03-12 02:46:00;115.300;   null
2021-03-12 02:47:00;115.567;   null
2021-03-12 02:48:00;112.983;   null
2021-03-12 02:49:00;114.400;   null
2021-03-12 02:50:00;120.050;   null
2021-03-12 02:51:00;115.250;   null
2021-03-12 02:52:00;114.400;   null
2021-03-12 02:53:00;115.500;   null
2021-03-12 02:54:00;117.800;   null
2021-03-12 02:55:00;115.867;   null
2021-03-12 02:56:00;113.133;   null
2021-03-12 02:57:00;117.183;   null
2021-03-12 02:58:00;114.533;   null
2021-03-12 02:59:00;116.117;   null
2021-03-12 03:00:00;118.900;   null
2021-03-12 03:01:00;114.933;   null
2021-03-12 03:02:00;114.267;   null
2021-03-12 03:03:00;115.933;   null
2021-03-12 03:04:00;113.017;   null
2021-03-12 03:05:00;115.300;   null
2021-03-12 03:06:00;116.367;   null
2021-03-12 03:07:00;119.517;   null
2021-03-12 03:08:00;112.617;   null
2021-03-12 03:09:00;118.500;   null
2021-03-12 03:10:00;114.417;   null
2021-03-12 03:11:00;113.950;   null
2021-03-12 03:12:00;116.200;   null
2021-03-12 03:13:00;114.600;   null
2021-03-12 03:14:00;115.400;   null
2021-03-12 03:15:00;112.667;   null
2021-03-12 03:16:00;115.233;   null
2021-03-12 03:17:00;113.050;   null
2021-03-12 03:18:00;116.100;   null
2021-03-12 03:19:00;114.667;   null
2021-03-12 03:20:00;116.833;   null
2021-03-12 03:21:00;113.150;   null
